"Function","Inferred responsibility","Evidence","Confidence"
"FUN_0043961a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043961a; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00439623","Create a RichEdit-backed text/output control.","Uses `""RichEdit""` or `""RichEdit20A""`, sets event mask/format/limits with RichEdit messages.","High"
"FUN_004397b2","Set RichEdit text and formatting.","Sends selection/text replacement and formatting messages.","Medium"
"FUN_0043983d","Replace output text in the RichEdit control.","Used when updating output pane/status after operations; sends RichEdit text messages.","Medium"
"FUN_004398bb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004398bb; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00439908","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439908; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043993e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043993e; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_00439974","Set expression/source text in an edit control.","Called when selecting/editing a function expression.","Medium"
"FUN_00439a35","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439a35; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_00439aab","Clear/reset RichEdit or expression edit state.","Called during new/open/close and command reset paths.","Medium"
"FUN_00439af4","Clear/reset RichEdit or expression edit state.","Called during new/open/close and command reset paths.","Medium"
"FUN_00439b85","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439b85; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_00439c3b","Scroll or navigate the RichEdit output.","Send RichEdit messages `0x4dd`/`0x4de`.","Medium"
"FUN_00439c5c","Scroll or navigate the RichEdit output.","Send RichEdit messages `0x4dd`/`0x4de`.","Medium"
"FUN_00439c7d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439c7d; calling convention __fastcall; parameter count 1; return type undefined4 *.","Unmapped"
"FUN_00439cf0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439cf0; calling convention __thiscall; parameter count 9; return type undefined4.","Unmapped"
"FUN_00439d5a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439d5a; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_00439d71","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00439d71; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_0043a4d3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043a4d3; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043a5a9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043a5a9; calling convention __thiscall; parameter count 4; return type undefined.","Unmapped"
"FUN_0043a79e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043a79e; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_0043a7eb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043a7eb; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_0043a8f1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043a8f1; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_0043a9ff","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043a9ff; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_0043ab21","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ab21; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043ab51","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ab51; calling convention __fastcall; parameter count 1; return type undefined4 *.","Unmapped"
"FUN_0043ab65","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ab65; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043aba6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043aba6; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043ac51","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ac51; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0043ae30","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ae30; calling convention __thiscall; parameter count 6; return type undefined4.","Unmapped"
"FUN_0043af87","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043af87; calling convention __thiscall; parameter count 2; return type bool.","Unmapped"
"FUN_0043b061","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043b061; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0043b10a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043b10a; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0043b238","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043b238; calling convention __thiscall; parameter count 5; return type bool.","Unmapped"
"FUN_0043b3ae","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043b3ae; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043b7be","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043b7be; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0043b877","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043b877; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"FUN_0043bad3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043bad3; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0043bfa3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043bfa3; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0043c146","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c146; calling convention __thiscall; parameter count 5; return type undefined4.","Unmapped"
"FUN_0043c34c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c34c; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0043c5dc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c5dc; calling convention __thiscall; parameter count 2; return type int.","Unmapped"
"FUN_0043c652","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c652; calling convention __thiscall; parameter count 2; return type int.","Unmapped"
"FUN_0043c6c8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c6c8; calling convention __thiscall; parameter count 2; return type int.","Unmapped"
"FUN_0043c740","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c740; calling convention __thiscall; parameter count 2; return type int.","Unmapped"
"FUN_0043c7b8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c7b8; calling convention __thiscall; parameter count 3; return type int.","Unmapped"
"FUN_0043c82b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c82b; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0043c8a6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c8a6; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0043c96e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043c96e; calling convention __thiscall; parameter count 2; return type undefined4.","Unmapped"
"FUN_0043ca9b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ca9b; calling convention __thiscall; parameter count 4; return type undefined4.","Unmapped"
"FUN_0043cc09","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043cc09; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0043d4ba","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043d4ba; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_0043d7d3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043d7d3; calling convention __thiscall; parameter count 2; return type undefined.","Unmapped"
"FUN_0043dc5c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043dc5c; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_0043e2f5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e2f5; calling convention __thiscall; parameter count 3; return type undefined4.","Unmapped"
"FUN_0043e34a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e34a; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043e36f","Lazy-load and dispatch to `HtmlHelpA`/HTML Help control.","Loads path returned by `FUN_0043e408`, falls back to `LoadLibraryA(""hhctrl.ocx"")`, gets ordinal `0xe`, invokes cached function pointer.","High"
"FUN_0043e408","Locate the installed HTML Help ActiveX control path from the registry.","Calls `RegOpenKeyExA(HKEY_CLASSES_ROOT, CLSID\\{ADB880A6-D8FF-11CF-9377-00AA003B7A11}\\InprocServer32)`, reads default value with `RegQueryValueExA`, closes key.","High"
"_memset","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e470; calling convention __cdecl; parameter count 3; return type void *.","Unmapped"
"report_failure","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e4d0; calling convention __cdecl; parameter count 0; return type undefined.","Unmapped"
"__security_check_cookie","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e501; calling convention __fastcall; parameter count 1; return type void.","Unmapped"
"_strlen","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e510; calling convention __cdecl; parameter count 1; return type size_t.","Unmapped"
"__fclose_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e59b; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_fclose","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e5e7; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_0043e630","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e630; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FID_conflict:_fwprintf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e638; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"FUN_0043e68c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e68c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__fsopen","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e696; calling convention __cdecl; parameter count 3; return type FILE *.","Unmapped"
"FUN_0043e6e8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e6e8; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043e6f2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e6f2; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"FID_conflict:__time32","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e705; calling convention __cdecl; parameter count 1; return type __time32_t.","Unmapped"
"_realloc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e73e; calling convention __cdecl; parameter count 2; return type void *.","Unmapped"
"FUN_0043e8a6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e8a6; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"_strchr","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e900; calling convention __cdecl; parameter count 2; return type char *.","Unmapped"
"__strnicmp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043e9be; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"_rand","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ea3d; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"FUN_0043ea5f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ea5f; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__beginthread","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043eb3d; calling convention __cdecl; parameter count 3; return type uintptr_t.","Unmapped"
"FUN_0043ebd0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ebd0; calling convention __cdecl; parameter count 2; return type uint *.","Unmapped"
"FUN_0043ebe0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ebe0; calling convention __cdecl; parameter count 2; return type uint *.","Unmapped"
"_free","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ecc8; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"FUN_0043ed1b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ed1b; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043ed39","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ed39; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"FUN_0043ed91","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ed91; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043ed92","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ed92; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043edca","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043edca; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__chkstk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043edf0; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043ee30","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ee30; calling convention __stdcall; parameter count 0; return type ulonglong.","Unmapped"
"_free","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043eea5; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"operator_new","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043eeaa; calling convention __cdecl; parameter count 1; return type void *.","Unmapped"
"_JumpToContinuation","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043eeb8; calling convention __stdcall; parameter count 2; return type void.","Unmapped"
"FID_conflict:_CallMemberFunction1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043eee8; calling convention __stdcall; parameter count 2; return type undefined.","Unmapped"
"_UnwindNestedFrames","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043eeef; calling convention __stdcall; parameter count 2; return type void.","Unmapped"
"___CxxFrameHandler","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ef41; calling convention __cdecl; parameter count 4; return type undefined4.","Unmapped"
"FUN_0043ef9b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ef9b; calling convention __cdecl; parameter count 3; return type undefined4.","Unmapped"
"_GetRangeOfTrysToCheck","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f00c; calling convention __cdecl; parameter count 5; return type _s_TryBlockMapEntry *.","Unmapped"
"FUN_0043f086","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f086; calling convention __cdecl; parameter count 2; return type undefined4 *.","Unmapped"
"FUN_0043f0ae","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f0ae; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"_FindAndUnlinkFrame","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f0cf; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"FUN_0043f11b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f11b; calling convention __cdecl; parameter count 5; return type undefined4.","Unmapped"
"FUN_0043f16c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f16c; calling convention __cdecl; parameter count 7; return type undefined4.","Unmapped"
"__global_unwind2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f21c; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"__local_unwind2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f25e; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"__abnormal_termination","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f2c6; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"__NLG_Notify1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f2e9; calling convention __fastcall; parameter count 1; return type undefined.","Unmapped"
"FUN_0043f2f2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f2f2; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043f30c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f30c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"_atol","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f32b; calling convention __cdecl; parameter count 1; return type long.","Unmapped"
"_atol","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f3b3; calling convention __cdecl; parameter count 1; return type long.","Unmapped"
"FUN_0043f3b8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f3b8; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_calloc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f3c3; calling convention __cdecl; parameter count 2; return type void *.","Unmapped"
"FUN_0043f46d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f46d; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"_strcmp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f480; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"_strstr","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f510; calling convention __cdecl; parameter count 2; return type char *.","Unmapped"
"__onexit_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f596; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"___onexitinit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f616; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"__onexit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f63e; calling convention __cdecl; parameter count 1; return type _onexit_t.","Unmapped"
"FUN_0043f670","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f670; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"_atexit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f676; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_strncpy","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f690; calling convention __cdecl; parameter count 3; return type char *.","Unmapped"
"__fwrite_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f7b4; calling convention __cdecl; parameter count 4; return type uint.","Unmapped"
"_fwrite","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f8bb; calling convention __cdecl; parameter count 4; return type size_t.","Unmapped"
"FUN_0043f8fd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f8fd; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__stricmp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f907; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"_strrchr","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f970; calling convention __cdecl; parameter count 2; return type char *.","Unmapped"
"FUN_0043f99d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043f99d; calling convention __cdecl; parameter count 3; return type char *.","Unmapped"
"FUN_0043fa1b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fa1b; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"_strncat","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fa30; calling convention __cdecl; parameter count 3; return type char *.","Unmapped"
"__heap_alloc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fb65; calling convention __cdecl; parameter count 1; return type void *.","Unmapped"
"FUN_0043fbd7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fbd7; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__nh_malloc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fbe0; calling convention __cdecl; parameter count 2; return type void *.","Unmapped"
"_malloc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fc0c; calling convention __cdecl; parameter count 1; return type void *.","Unmapped"
"_free","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fc1e; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"`eh_vector_constructor_iterator'","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fc23; calling convention __stdcall; parameter count 5; return type void.","Unmapped"
"FUN_0043fc6d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fc6d; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"operator_new","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fc85; calling convention __cdecl; parameter count 1; return type void *.","Unmapped"
"__fread_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fc8a; calling convention __cdecl; parameter count 4; return type uint.","Unmapped"
"_fread","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fd73; calling convention __cdecl; parameter count 4; return type size_t.","Unmapped"
"FUN_0043fdb5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fdb5; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__ArrayUnwind","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fdbf; calling convention __stdcall; parameter count 4; return type void.","Unmapped"
"`eh_vector_destructor_iterator'","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fe1d; calling convention __stdcall; parameter count 4; return type void.","Unmapped"
"FUN_0043fe65","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fe65; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0043fe7d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043fe7d; calling convention __cdecl; parameter count 1; return type char *.","Unmapped"
"_localtime","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0043ff88; calling convention __cdecl; parameter count 1; return type tm *.","Unmapped"
"__allshl","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440110; calling convention __fastcall; parameter count 2; return type longlong.","Unmapped"
"FUN_0044012f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044012f; calling convention __cdecl; parameter count 2; return type uint.","Unmapped"
"_strncmp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004401f0; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"_memcpy","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440230; calling convention __cdecl; parameter count 3; return type void *.","Unmapped"
"_fsetpos","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044056d; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"_fgetpos","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440585; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"_isupper","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004405a7; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_isdigit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004405e1; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_isalnum","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044061b; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"_rewind","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044065a; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"FUN_004406d9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004406d9; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_004406e3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004406e3; calling convention __thiscall; parameter count 3; return type uint.","Unmapped"
"FUN_004407ab","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004407ab; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"__amsg_exit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004407cd; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"fast_error_exit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004407f2; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"entry","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440816; calling convention __stdcall; parameter count 0; return type WPARAM.","Unmapped"
"FUN_004409e8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004409e8; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00440a3e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440a3e; calling convention __stdcall; parameter count 1; return type undefined.","Unmapped"
"__SEH_prolog","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440b88; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
